team,score,region
Valhalla Quidditch,1585.14818377637,east
University of Guelph Gryphons,1554.766823354872,east
Ottawa Otters,1546.01852832962,east
Edmonton Aurors Quidditch Club,1524.0,west
Vancouver Storm Crows Quidditch Club,1524.0,west
Carleton Ravens,1515.8917259739103,east
SFU Quidditch,1508.0,west
Queen's Quidditch,1499.6851345286773,east
uOttawa Quidditch,1499.0064084856524,east
Valfreyja Quidditch,1493.6507850485928,east
UBC Thunderbirds SC,1492.0,west
University of Victoria Valkyries,1492.0,west
UBC Quidditch Club,1484.0,west
Waterloo Ridgebacks,1483.4026229716223,east
McGill Quidditch,1478.8813620860599,east
Universite de Montreal,1476.732811880712,east
Sabertooths Quidditch Club,1476.0,west
UofT Centaurs,1467.0771311529168,east
Royal City Quidditch,1452.5644508310843,east
Canada's Finest Quidditch Club,1447.17403157991,east
